period,window,path,cost_mult,control,parents,control_fills,retest_fills,shared_fills,added_fills,lost_fills,added_net_r,lost_control_net_r,shared_net_r_change,total_net_r_change,control_total_parent_r,retest_total_parent_r,control_mean_parent_r,retest_mean_parent_r
late,baseline,OLHC,1.0,confirmation,204,61,28,28,0,33,0.0,5.9044338770809475,6.199670465176133,0.29523658809518505,0.08662512015447343,0.9901467565133286,0.001420083936958581,0.03536238416119031
late,baseline,OLHC,1.5,midpoint,204,103,25,25,0,78,0.0,11.91593079414027,-1.0417559338995828,-12.957686728039851,15.161268272879072,2.20358154483922,0.1471967793483405,0.08814326179356881
late,baseline,OLHC,1.5,confirmation,204,59,25,25,0,34,0.0,3.0714184326493728,6.086960468385609,3.015542035736236,-1.9836485852616146,2.20358154483922,-0.03362116246206127,0.08814326179356881
late,open_window,OHLC,1.0,midpoint,271,141,39,39,0,102,0.0,18.97124987269042,-4.83716657787319,-23.80841645056362,24.506932150608677,0.6985157000450556,0.17380802943694096,0.017910658975514245
late,open_window,OHLC,1.0,confirmation,271,80,39,39,0,41,0.0,10.589813668698165,8.462060005949134,-2.1277536627490297,3.930567586395366,0.6985157000450556,0.049132094829942075,0.017910658975514245
late,open_window,OHLC,1.5,midpoint,271,139,34,34,0,105,0.0,13.499431348963665,-4.775520457424176,-18.27495180638784,21.138794577235007,2.8638427708471657,0.15207765882902882,0.08423066973079898
late,open_window,OHLC,1.5,confirmation,271,77,34,34,0,43,0.0,6.6063911605296965,8.315811051547755,1.7094198910180607,1.5450945020880835,2.8638427708471657,0.020066162364780305,0.08423066973079898
late,open_window,OLHC,1.0,midpoint,271,141,39,39,0,102,0.0,18.97124987269042,-4.83716657787319,-23.80841645056362,24.506932150608677,0.6985157000450556,0.17380802943694096,0.017910658975514245
late,open_window,OLHC,1.0,confirmation,271,80,39,39,0,41,0.0,10.589813668698165,8.462060005949134,-2.1277536627490297,3.930567586395366,0.6985157000450556,0.049132094829942075,0.017910658975514245
late,open_window,OLHC,1.5,midpoint,271,139,34,34,0,105,0.0,13.499431348963665,-4.775520457424176,-18.27495180638784,21.138794577235007,2.8638427708471657,0.15207765882902882,0.08423066973079898
late,open_window,OLHC,1.5,confirmation,271,77,34,34,0,43,0.0,6.6063911605296965,8.315811051547755,1.7094198910180607,1.5450945020880835,2.8638427708471657,0.020066162364780305,0.08423066973079898
