period,window,path,cost_mult,entry_mode,candidates,orders,filled,skipped,expired,pending,marked,time_exits,total_net_r,gains,losses,wins,no_confirmation,invalidated,entry_invalid,entry_cost,submitted,mean_net_r,pf,win_rate
late,baseline,OHLC,1.5,confirmation,204,204,59,0,0,0,0,44,-0.8119604908970162,17.688981289696855,18.500941780593873,31,133,12,0,0,0,-0.013762042218593494,0.9561124779199779,0.5254237288135594
late,baseline,OHLC,1.5,confirmed_retest,204,204,25,0,30,0,0,15,2.20358154483922,10.96654239092876,8.762960846089538,15,133,12,0,4,55,0.08814326179356881,1.2514654103267582,0.6
late,baseline,OHLC,1.5,midpoint,204,204,103,0,101,0,0,48,15.161268272879074,56.80392062064319,41.64265234776411,53,0,0,0,0,0,0.14719677934834052,1.364080273904386,0.5145631067961165
late,baseline,OLHC,1.0,confirmation,204,204,61,0,0,0,0,47,0.6949101684181443,18.656740389504606,17.961830221086462,32,131,12,0,0,0,0.011391969974067941,1.0386881603859248,0.5245901639344263
late,baseline,OLHC,1.0,confirmed_retest,204,204,28,0,33,0,0,17,0.9901467565133296,11.457144284012523,10.466997527499194,16,131,12,0,0,61,0.03536238416119034,1.094597018286475,0.5714285714285714
late,baseline,OLHC,1.0,midpoint,204,204,105,0,99,0,0,51,17.582002502001725,58.11861394164256,40.53661143964083,54,0,0,0,0,0,0.1674476428762069,1.4337314313551195,0.5142857142857142
late,baseline,OLHC,1.5,confirmation,204,204,59,0,0,0,0,44,-0.8119604908970162,17.688981289696855,18.500941780593873,31,133,12,0,0,0,-0.013762042218593494,0.9561124779199779,0.5254237288135594
late,baseline,OLHC,1.5,confirmed_retest,204,204,25,0,30,0,0,15,2.20358154483922,10.96654239092876,8.762960846089538,15,133,12,0,4,55,0.08814326179356881,1.2514654103267582,0.6
late,baseline,OLHC,1.5,midpoint,204,204,103,0,101,0,0,48,15.161268272879074,56.80392062064319,41.64265234776411,53,0,0,0,0,0,0.14719677934834052,1.364080273904386,0.5145631067961165
late,open_window,OHLC,1.0,confirmation,271,271,80,0,0,0,0,60,2.8262693627940862,26.180710667741327,23.35444130494724,42,168,23,0,0,0,0.035328367034926075,1.1210163551287946,0.525
late,open_window,OHLC,1.0,confirmed_retest,271,271,39,0,41,0,0,24,0.6985157000450561,14.513497151210558,13.814981451165501,21,168,23,0,0,80,0.01791065897551426,1.0505621887741388,0.5384615384615384
late,open_window,OHLC,1.0,midpoint,271,271,141,0,130,0,0,61,24.50693215060867,81.53039577735291,57.02346362674424,72,0,0,0,0,0,0.17380802943694093,1.4297692667534636,0.5106382978723404
late,open_window,OHLC,1.5,confirmation,271,271,77,0,0,0,0,56,1.154422879829104,24.896208116309147,23.741785236480045,39,170,23,0,1,0,0.014992504932845508,1.0486240974859504,0.5064935064935064
late,open_window,OHLC,1.5,confirmed_retest,271,271,34,0,33,0,0,21,2.8638427708471648,13.892143426511785,11.02830065566462,20,170,23,0,11,67,0.08423066973079896,1.2596812383217146,0.5882352941176471
late,open_window,OHLC,1.5,midpoint,271,271,139,0,132,0,0,58,21.138794577235004,79.78558707961771,58.6467925023827,69,0,0,0,0,0,0.1520776588290288,1.3604424671029738,0.49640287769784175
late,open_window,OLHC,1.0,confirmation,271,271,80,0,0,0,0,60,2.8262693627940862,26.180710667741327,23.35444130494724,42,168,23,0,0,0,0.035328367034926075,1.1210163551287946,0.525
late,open_window,OLHC,1.0,confirmed_retest,271,271,39,0,41,0,0,24,0.6985157000450561,14.513497151210558,13.814981451165501,21,168,23,0,0,80,0.01791065897551426,1.0505621887741388,0.5384615384615384
late,open_window,OLHC,1.0,midpoint,271,271,141,0,130,0,0,61,24.50693215060867,81.53039577735291,57.02346362674424,72,0,0,0,0,0,0.17380802943694093,1.4297692667534636,0.5106382978723404
late,open_window,OLHC,1.5,confirmation,271,271,77,0,0,0,0,56,1.154422879829104,24.896208116309147,23.741785236480045,39,170,23,0,1,0,0.014992504932845508,1.0486240974859504,0.5064935064935064
late,open_window,OLHC,1.5,confirmed_retest,271,271,34,0,33,0,0,21,2.8638427708471648,13.892143426511785,11.02830065566462,20,170,23,0,11,67,0.08423066973079896,1.2596812383217146,0.5882352941176471
late,open_window,OLHC,1.5,midpoint,271,271,139,0,132,0,0,58,21.138794577235004,79.78558707961771,58.6467925023827,69,0,0,0,0,0,0.1520776588290288,1.3604424671029738,0.49640287769784175
