period,window,path,cost_mult,entry_mode,candidates,orders,filled,skipped,expired,pending,marked,time_exits,total_net_r,gains,losses,wins,no_confirmation,invalidated,entry_invalid,entry_cost,mean_net_r,pf,win_rate
extension,open_window,OLHC,1.0,midpoint,30,30,17,0,13,0,0,5,-7.24182607447767,4.769668297257141,12.01149437173481,5,0,0,0,0,-0.42598976908692177,0.3970919978517429,0.29411764705882354
extension,open_window,OLHC,1.5,confirmation,30,30,6,0,0,0,0,5,-1.033341152358243,0.9891857284665747,2.0225268808248176,3,19,5,0,0,-0.1722235253930405,0.4890840946762446,0.5
extension,open_window,OLHC,1.5,midpoint,30,30,17,0,13,0,0,5,-7.533383841454855,4.718641196947023,12.252025038401879,5,0,0,0,0,-0.4431402259679326,0.3851315339429399,0.29411764705882354
late,baseline,OHLC,1.0,confirmation,204,204,61,0,0,0,0,47,0.6949101684181453,18.65674038950461,17.961830221086462,32,131,12,0,0,0.011391969974067957,1.038688160385925,0.5245901639344263
late,baseline,OHLC,1.0,midpoint,204,204,105,0,99,0,0,51,17.58200250200173,58.11861394164256,40.53661143964083,54,0,0,0,0,0.16744764287620695,1.4337314313551195,0.5142857142857142
late,baseline,OHLC,1.5,confirmation,204,204,59,0,0,0,0,44,-0.8119604908970162,17.688981289696855,18.500941780593873,31,133,12,0,0,-0.013762042218593494,0.9561124779199779,0.5254237288135594
late,baseline,OHLC,1.5,midpoint,204,204,103,0,101,0,0,48,15.161268272879074,56.80392062064319,41.64265234776411,53,0,0,0,0,0.14719677934834052,1.364080273904386,0.5145631067961165
late,baseline,OLHC,1.0,confirmation,204,204,61,0,0,0,0,47,0.6949101684181453,18.65674038950461,17.961830221086462,32,131,12,0,0,0.011391969974067957,1.038688160385925,0.5245901639344263
late,baseline,OLHC,1.0,midpoint,204,204,105,0,99,0,0,51,17.58200250200173,58.11861394164256,40.53661143964083,54,0,0,0,0,0.16744764287620695,1.4337314313551195,0.5142857142857142
late,baseline,OLHC,1.5,confirmation,204,204,59,0,0,0,0,44,-0.8119604908970162,17.688981289696855,18.500941780593873,31,133,12,0,0,-0.013762042218593494,0.9561124779199779,0.5254237288135594
