arm,period,path,cost_mult,candidates,orders,filled,skipped,expired,pending,marked,time_exits,total_net_r,gains,losses,wins,mean_net_r,pf,win_rate,fill_rate
recent_sweep,late,OLHC,1.00000000,541,541,252,0,289,0,0,125,5.67367465,116.93796934,111.26429468,110,0.02251458,1.05099277,0.43650794,0.46580407
recent_sweep,late,OLHC,1.50000000,541,541,247,0,294,0,0,119,0.86050298,114.16887681,113.30837383,108,0.00348382,1.00759435,0.43724696,0.45656192
two_setups,early,OHLC,1.00000000,251,246,109,5,137,0,0,57,3.02793501,51.46836847,48.44043347,47,0.02777922,1.06250842,0.43119266,0.44308943
two_setups,early,OHLC,1.50000000,251,246,107,5,139,0,0,56,-1.91087902,48.11742185,50.02830087,44,-0.01785868,0.96180404,0.41121495,0.43495935
two_setups,early,OLHC,1.00000000,251,246,109,5,137,0,0,57,3.02793501,51.46836847,48.44043347,47,0.02777922,1.06250842,0.43119266,0.44308943
two_setups,early,OLHC,1.50000000,251,246,107,5,139,0,0,56,-1.91087902,48.11742185,50.02830087,44,-0.01785868,0.96180404,0.41121495,0.43495935
two_setups,late,OHLC,1.00000000,210,208,106,2,102,0,0,51,16.57863619,58.11861394,41.53997775,54,0.15640223,1.39910075,0.50943396,0.50961538
two_setups,late,OHLC,1.50000000,210,208,104,2,104,0,0,48,14.15621881,56.80392062,42.64770181,53,0.13611749,1.33193392,0.50961538,0.50000000
two_setups,late,OLHC,1.00000000,210,208,106,2,102,0,0,51,16.57863619,58.11861394,41.53997775,54,0.15640223,1.39910075,0.50943396,0.50961538
two_setups,late,OLHC,1.50000000,210,208,104,2,104,0,0,48,14.15621881,56.80392062,42.64770181,53,0.13611749,1.33193392,0.50961538,0.50000000
